ENTITY,YEAR,ADULT_LITERACY,YOUTH_LITERACY_M,YOUTH_LITERACY_F,OWID_REGION
Afghanistan,1979,18.0,46.0,11.0,Asia
Afghanistan,2011,31.0,62.0,32.0,Asia
Afghanistan,2015,33.75384,57.73505,25.48416,Asia
Afghanistan,2021,37.0,71.0,42.0,Asia
Afghanistan,2022,37.0,83.4,44.17171,Asia
Albania,2001,99.0,99.0,99.0,Europe
Albania,2005,99.0,99.0,99.49,Europe
Albania,2008,96.0,99.0,99.0,Europe
Albania,2009,96.0,94.82,96.61,Europe
Albania,2011,97.0,99.0,99.0,Europe
Albania,2012,97.0,99.0,99.0,Europe
Albania,2017,98.81623,98.58999,99.52556,Europe
Algeria,1987,50.0,86.0,62.0,Africa
Algeria,2002,70.0,94.0,86.0,Africa
Algeria,2006,73.0,94.0,89.0,Africa
Algeria,2008,75.0,96.0,92.0,Africa
Algeria,2019,75.0,64.79,97.9897,Africa
American Samoa,1980,97.0,98.0,97.0,Oceania
Angola,2001,67.0,84.0,63.0,Africa
Angola,2014,66.0,85.0,71.0,Africa
Angola,2015,66.23586,83.96919,67.4276,Africa
Anguilla,1984,95.0,99.0,99.0,North America
Argentina,1980,94.0,96.0,97.0,South America
Argentina,1991,96.0,98.0,99.0,South America
Argentina,2001,97.0,99.0,99.0,South America
Armenia,1989,99.0,100.0,100.0,Asia
Armenia,2000,99.0,100.0,100.0,Asia
Armenia,2001,99.0,100.0,100.0,Asia
Armenia,2011,100.0,100.0,100.0,Asia
Armenia,2016,100.0,100.0,100.0,Asia
Armenia,2017,100.0,100.0,100.0,Asia
Armenia,2020,100.0,100.0,100.0,Asia
Armenia,2022,99.825,99.64871,99.91656,Asia
Aruba,2000,97.0,99.0,99.0,North America
Aruba,2010,97.0,99.0,99.0,North America
Azerbaijan,1999,99.0,100.0,100.0,Asia
Azerbaijan,2006,99.0,100.0,100.0,Asia
Azerbaijan,2007,100.0,100.0,100.0,Asia
Azerbaijan,2009,100.0,100.0,100.0,Asia
Azerbaijan,2010,100.0,100.0,100.0,Asia
Azerbaijan,2011,100.0,100.0,100.0,Asia
Azerbaijan,2012,100.0,100.0,100.0,Asia
Azerbaijan,2013,100.0,100.0,100.0,Asia
Azerbaijan,2014,100.0,100.0,100.0,Asia
Azerbaijan,2015,100.0,100.0,100.0,Asia
Azerbaijan,2016,100.0,100.0,100.0,Asia
Azerbaijan,2017,100.0,100.0,100.0,Asia
Azerbaijan,2019,100.0,100.0,100.0,Asia
Azerbaijan,2023,100.0,100.0,100.0,Asia
Bahrain,1981,70.0,90.0,82.0,Asia
Bahrain,1991,84.0,97.0,97.0,Asia
Bahrain,2001,87.0,97.0,97.0,Asia
Bahrain,2022,98.0,99.0,99.0,Asia
Bahrain,2023,98.0,99.0,99.0,Asia
Bangladesh,1981,29.0,44.0,27.0,Asia
Bangladesh,1991,35.0,52.0,38.0,Asia
Bangladesh,2000,35.0,100.0,100.0,Asia
Bangladesh,2001,47.0,67.0,60.0,Asia
Bangladesh,2006,47.0,67.0,87.2,Asia
Bangladesh,2007,47.0,90.51,77.09,Asia
Bangladesh,2011,59.0,76.0,80.0,Asia
Bangladesh,2012,58.0,76.0,79.0,Asia
Bangladesh,2013,61.0,84.0,87.0,Asia
Bangladesh,2014,61.0,85.0,86.0,Asia
Bangladesh,2015,65.0,86.0,90.0,Asia
Bangladesh,2016,73.0,91.0,94.0,Asia
Bangladesh,2017,73.0,92.0,94.0,Asia
Bangladesh,2018,74.0,92.0,95.0,Asia
Bangladesh,2019,75.0,94.0,96.0,Asia
Bangladesh,2020,75.0,93.0,96.0,Asia
Bangladesh,2021,76.0,94.0,96.0,Asia
Bangladesh,2022,79.0,92.0,94.0,Asia
Barbados,1970,99.0,100.0,100.0,North America
Barbados,2012,99.0,100.0,100.0,North America
Belarus,1989,98.0,100.0,100.0,Europe
Belarus,1999,100.0,100.0,100.0,Europe
Belarus,2005,100.0,100.0,99.98,Europe
Belarus,2009,100.0,100.0,100.0,Europe
Belarus,2012,100.0,100.0,100.0,Europe
Belarus,2019,100.0,100.0,100.0,Europe
Belize,1991,70.0,77.0,78.0,North America
Belize,2006,70.0,77.0,95.13,North America
Belize,2011,70.0,77.0,96.6,North America
Belize,2015,90.91604,97.82818,98.07905,North America
Benin,1979,16.0,46.0,18.0,Africa
Benin,1992,27.0,55.0,27.0,Africa
Benin,2001,27.0,61.08,31.85,Africa
Benin,2002,35.0,59.0,33.0,Africa
Benin,2006,35.0,72.07,39.53,Africa
Benin,2017,38.87121,66.79979,50.98536,Africa
Benin,2019,48.99828,76.35444,62.76271,Africa
Benin,2021,43.83417,70.96799,59.18644,Africa
Benin,2022,51.37877,74.60011,67.93813,Africa
Bhutan,2005,53.0,80.0,68.0,Asia
Bhutan,2010,53.0,80.0,63.34,Asia
Bhutan,2012,55.0,90.0,82.0,Asia
Bhutan,2017,67.0,93.0,93.0,Asia
Bolivia,1976,63.0,91.0,76.0,South America
Bolivia,1992,80.0,96.0,92.0,South America
Bolivia,2000,80.0,98.4,96.3,South America
Bolivia,2001,87.0,98.2,96.5,South America
Bolivia,2002,87.0,99.1,97.1,South America
Bolivia,2003,87.0,99.47,96.67,South America
Bolivia,2004,87.0,99.6,98.6,South America
Bolivia,2005,87.0,99.3,98.4,South America
Bolivia,2006,87.0,99.4,97.4,South America
Bolivia,2007,91.0,99.8,99.1,South America
Bolivia,2008,91.0,99.4,99.0,South America
Bolivia,2009,91.0,99.7,99.1,South America
Bolivia,2011,92.0,99.3,98.8,South America
Bolivia,2012,94.0,99.5,99.2,South America
Bolivia,2013,94.0,99.5,99.2,South America
Bolivia,2014,94.0,99.7,99.2,South America
Bolivia,2015,92.0,99.4,99.4,South America
Bolivia,2016,92.0,99.5,99.3,South America
Bolivia,2017,92.0,99.4,99.3,South America
Bolivia,2018,92.0,99.7,99.4,South America
Bolivia,2019,92.0,99.7,99.4,South America
Bolivia,2020,94.0,99.6,99.5,South America
Bolivia,2021,94.0,99.5,99.5,South America
Bosnia and Herzegovina,1991,89.0,99.0,99.0,Europe
Bosnia and Herzegovina,2000,97.0,100.0,100.0,Europe
Bosnia and Herzegovina,2006,97.0,100.0,99.82,Europe
Bosnia and Herzegovina,2013,97.0,100.0,100.0,Europe
Botswana,1991,69.0,86.0,92.0,Africa
Botswana,2003,81.0,92.0,96.0,Africa
Brazil,1980,75.0,83.0,85.0,South America
Brazil,2000,86.0,93.0,96.0,South America
Brazil,2001,86.0,94.7,96.9,South America
Brazil,2002,86.0,95.1,97.5,South America
Brazil,2003,86.0,95.6,97.7,South America
Brazil,2004,89.0,95.7,97.9,South America
Brazil,2005,89.0,96.1,98.1,South America
Brazil,2006,90.0,96.8,98.3,South America
Brazil,2007,90.0,97.0,98.6,South America
Brazil,2008,90.0,97.2,98.5,South America
Brazil,2009,90.0,97.4,98.7,South America
Brazil,2010,90.0,97.0,98.0,South America
Brazil,2011,91.0,97.9,99.1,South America
Brazil,2012,91.0,98.2,99.0,South America
Brazil,2013,91.0,98.3,99.2,South America
Brazil,2014,92.0,98.4,99.3,South America
Brazil,2015,92.0,98.6,99.3,South America
Brazil,2016,93.0,98.7,99.5,South America
Brazil,2017,93.0,98.8,99.5,South America
Brazil,2018,93.0,98.7,99.4,South America
Brazil,2019,93.0,98.7,99.5,South America
Brazil,2020,93.0,99.0,99.5,South America
Brazil,2021,93.0,99.1,99.5,South America
Brazil,2022,93.0,99.0,99.6,South America
Brazil,2023,93.0,99.0,99.6,South America
Brunei,1981,78.0,94.0,93.0,Asia
Brunei,1991,88.0,98.0,98.0,Asia
Brunei,2001,93.0,99.0,99.0,Asia
Brunei,2011,96.0,99.0,100.0,Asia
Bulgaria,2001,98.0,98.0,98.0,Europe
Bulgaria,2011,98.0,98.0,98.0,Europe
Burkina Faso,1975,9.0,22.0,7.0,Africa
Burkina Faso,1991,14.0,27.0,14.0,Africa
Burkina Faso,1996,13.0,25.0,14.0,Africa
Burkina Faso,2003,22.0,38.0,25.0,Africa
Burkina Faso,2005,24.0,40.0,26.0,Africa
Burkina Faso,2006,22.0,40.0,27.0,Africa
Burkina Faso,2007,28.0,47.0,33.0,Africa
Burkina Faso,2010,28.0,47.04,27.24,Africa
Burkina Faso,2014,35.0,57.0,44.0,Africa
Burkina Faso,2018,39.0,64.0,54.0,Africa
Burkina Faso,2019,30.0,51.0,44.0,Africa
Burkina Faso,2021,36.96738,66.64593,58.758,Africa
Burkina Faso,2022,40.92361,65.47311,60.56925,Africa
Burundi,1979,23.0,41.0,21.0,Africa
Burundi,1990,37.0,59.0,48.0,Africa
Burundi,2000,59.0,77.0,70.0,Africa
Burundi,2005,59.0,77.0,52.83,Africa
Burundi,2008,48.0,67.0,57.0,Africa
Burundi,2010,48.0,82.66,66.51,Africa
Burundi,2014,62.0,85.0,75.0,Africa
Burundi,2016,65.68774,86.7551,82.08605,Africa
Burundi,2017,68.0,91.0,86.0,Africa
Cambodia,1998,67.0,82.0,71.0,Asia
Cambodia,2000,67.0,82.0,54.67,Asia
Cambodia,2004,74.0,88.0,79.0,Asia
Cambodia,2005,74.0,100.0,67.33,Asia
Cambodia,2008,77.0,89.0,86.0,Asia
Cambodia,2009,76.0,88.0,86.0,Asia
Cambodia,2010,76.0,80.6,78.02,Asia
Cambodia,2014,78.0,90.0,90.0,Asia
Cambodia,2015,81.0,92.0,93.0,Asia
Cambodia,2021,71.92725,90.30829,93.50569,Asia
Cameroon,1976,41.0,80.0,59.0,Africa
Cameroon,2000,68.0,88.0,78.0,Africa
Cameroon,2004,68.0,81.39,67.65,Africa
Cameroon,2006,68.0,81.39,64.67,Africa
Cameroon,2007,71.0,89.0,77.0,Africa
Cameroon,2010,71.0,85.0,76.0,Africa
Cameroon,2011,71.0,86.92,73.41,Africa
Cameroon,2014,71.0,86.92,100.0,Africa
Cameroon,2018,72.54713,87.59698,76.3945,Africa
Cape Verde,1990,63.0,90.0,86.0,Africa
Cape Verde,2012,85.0,98.0,98.0,Africa
Cape Verde,2015,87.0,98.0,99.0,Africa
Cayman Islands,2007,99.0,99.0,99.0,North America
Central African Republic,1975,18.0,56.0,20.0,Africa
Central African Republic,1988,34.0,63.0,35.0,Africa
Central African Republic,2000,51.0,73.0,49.0,Africa
Central African Republic,2006,51.0,73.0,21.51,Africa
Central African Republic,2010,51.0,73.0,27.63,Africa
Central African Republic,2019,42.44279,64.90382,36.67682,Africa
Chad,1993,11.0,26.0,9.0,Africa
Chad,2000,26.0,56.0,23.0,Africa
Chad,2004,28.0,54.0,31.0,Africa
Chad,2010,28.0,54.0,16.88,Africa
Chad,2016,22.0,41.0,22.0,Africa
Chad,2019,30.62792,56.26247,33.32039,Africa
Chile,1982,91.0,96.0,97.0,South America
Chile,1992,94.0,98.0,99.0,South America
Chile,2000,94.0,98.9,99.3,South America
Chile,2002,96.0,99.0,99.0,South America
Chile,2003,96.0,98.9,99.4,South America
Chile,2006,96.0,98.9,99.3,South America
Chile,2009,96.0,99.2,99.5,South America
Chile,2011,97.0,99.2,99.6,South America
Chile,2013,96.0,99.0,99.1,South America
Chile,2015,97.0,99.3,99.4,South America
Chile,2017,96.0,99.0,99.0,South America
Chile,2022,96.0,99.1,99.5,South America
China,1982,66.0,95.0,82.0,Asia
China,1990,78.0,97.0,91.0,Asia
China,2000,91.0,99.0,99.0,Asia
China,2010,95.0,100.0,100.0,Asia
China,2020,97.0,100.0,100.0,Asia
Colombia,1993,91.0,95.0,96.0,South America
Colombia,1996,91.0,96.0,98.0,South America
Colombia,2000,91.0,96.0,100.0,South America
Colombia,2002,91.0,96.9,98.0,South America
Colombia,2003,91.0,96.7,98.3,South America
Colombia,2004,93.0,97.5,98.4,South America
Colombia,2005,93.0,97.6,98.4,South America
Colombia,2006,92.0,98.0,98.0,South America
Colombia,2007,93.0,97.0,98.0,South America
Colombia,2008,93.0,97.5,98.4,South America
Colombia,2009,93.0,97.4,98.4,South America
Colombia,2010,93.0,97.8,98.6,South America
Colombia,2011,94.0,97.8,98.8,South America
Colombia,2012,94.0,97.8,98.7,South America
Colombia,2013,94.0,97.8,98.8,South America
Colombia,2014,94.0,98.1,98.9,South America
Colombia,2015,94.0,98.2,98.9,South America
Colombia,2016,95.0,98.3,99.0,South America
Colombia,2017,95.0,98.3,99.0,South America
Colombia,2018,95.0,98.7,99.1,South America
Colombia,2019,95.0,98.5,99.2,South America
Colombia,2020,96.0,98.7,99.3,South America
Colombia,2021,96.0,98.8,99.4,South America
Colombia,2022,96.0,98.6,99.2,South America
Colombia,2023,96.0,98.7,99.2,South America
Comoros,1980,48.0,69.0,55.0,Africa
Comoros,2000,68.0,84.0,78.0,Africa
Comoros,2012,68.0,85.0,78.59,Africa
Congo,1984,60.0,92.0,83.0,Africa
Congo,2005,76.0,88.0,71.0,Africa
Costa Rica,1984,93.0,97.0,98.0,North America
Costa Rica,2000,95.0,97.0,98.0,North America
Costa Rica,2011,97.0,99.0,99.0,North America
Costa Rica,2018,97.0,74.78,99.63372,North America
Cote d'Ivoire,1988,34.0,60.0,38.0,Africa
Cote d'Ivoire,1998,36.0,54.0,40.0,Africa
Cote d'Ivoire,2000,49.0,71.0,52.0,Africa
Cote d'Ivoire,2006,49.0,71.0,38.57,Africa
Cote d'Ivoire,2014,44.0,59.0,47.0,Africa
Cote d'Ivoire,2016,50.03968,71.98823,54.73764,Africa
Cote d'Ivoire,2019,90.0,93.0,76.0,Africa
Cote d'Ivoire,2021,50.00064,76.16145,58.31827,Africa
Croatia,1991,97.0,100.0,100.0,Europe
Croatia,2001,98.0,100.0,100.0,Europe
Cuba,1981,98.0,100.0,100.0,North America
Cuba,2002,100.0,100.0,100.0,North America
Cuba,2012,100.0,100.0,100.0,North America
Cuba,2019,97.65491,99.53119,99.70794,North America
Cyprus,1992,94.0,100.0,100.0,Europe
Cyprus,2001,97.0,100.0,100.0,Europe
Cyprus,2011,99.0,100.0,100.0,Europe
Democratic Republic of Congo,2001,67.0,78.0,63.0,Africa
Democratic Republic of Congo,2007,67.0,87.36,62.97,Africa
Democratic Republic of Congo,2010,67.0,87.36,64.32,Africa
Democratic Republic of Congo,2012,75.0,91.0,77.0,Africa
Democratic Republic of Congo,2013,75.0,92.56,76.58,Africa
Democratic Republic of Congo,2016,77.0,91.0,80.0,Africa
Democratic Republic of Congo,2018,73.55303,90.81754,77.53746,Africa
Djibouti,2006,58.76287609467455,77.55125863905326,51.81,Africa
Dominican Republic,1981,73.0,81.0,84.0,North America
Dominican Republic,2000,73.0,93.2,96.5,North America
Dominican Republic,2001,73.0,94.3,96.6,North America
Dominican Republic,2002,87.0,93.8,96.5,North America
Dominican Republic,2003,87.0,94.7,96.9,North America
Dominican Republic,2004,87.0,95.2,96.7,North America
Dominican Republic,2005,87.0,96.2,97.3,North America
Dominican Republic,2006,87.0,95.3,97.9,North America
Dominican Republic,2007,88.0,97.2,97.8,North America
