COUNTRY,CODE,YEAR,ILLITERACY_RATE,LITERACY_RATE,ILLITERACY%,LITERACY GROWTH RATE,ILLITERACY TO LITERACY RATIO
AFGHANISTAN,AFG,2011,69.0,31.0,69.0,0.0,2.225806451612903
AFGHANISTAN,AFG,2015,66.246155,33.75384,66.25,8.883354838709657,1.962625733842431
AFGHANISTAN,AFG,2021,63.0,37.0,63.0,9.61715763302784,1.7027027027027026
ALBANIA,ALB,2001,1.0,99.0,1.0,0.0,0.010101010101010102
ALBANIA,ALB,2008,4.0,96.0,4.0,-3.0303030303030276,0.041666666666666664
ALBANIA,ALB,2011,3.0,97.0,3.0,1.041666666666674,0.030927835051546393
ALBANIA,ALB,2012,3.0,97.0,3.0,0.0,0.030927835051546393
ALBANIA,ALB,2017,1.1837692,98.81623,1.18,1.8724020618556825,0.01197950174784041
ALGERIA,DZA,2002,30.0,70.0,30.0,0.0,0.42857142857142855
ALGERIA,DZA,2006,27.0,73.0,27.0,4.285714285714293,0.3698630136986301
ALGERIA,DZA,2008,25.0,75.0,25.0,2.7397260273972712,0.3333333333333333
ANGOLA,AGO,2001,33.0,67.0,33.0,0.0,0.4925373134328358
ANGOLA,AGO,2014,34.0,66.0,34.0,-1.4925373134328401,0.5151515151515151
ANGOLA,AGO,2015,33.764137,66.23586,33.76,0.3573636363636501,0.5097561502183258
ANTIGUA AND BARBUDA,ATG,2001,1.0,99.0,1.0,0.0,0.010101010101010102
ARGENTINA,ARG,1991,4.0,96.0,4.0,0.0,0.041666666666666664
ARGENTINA,ARG,2001,3.0,97.0,3.0,1.041666666666674,0.030927835051546393
ARMENIA,ARM,2001,1.0,99.0,1.0,0.0,0.010101010101010102
ARMENIA,ARM,2011,0.0,100.0,0.0,1.0101010101010166,0.0
ARMENIA,ARM,2016,0.0,100.0,0.0,0.0,0.0
ARMENIA,ARM,2017,0.0,100.0,0.0,0.0,0.0
ARMENIA,ARM,2020,0.0,100.0,0.0,0.0,0.0
ARMENIA,ARM,2022,0.17500305,99.825,0.18,-0.17499999999999183,0.001753098422238918
ARUBA,ABW,2000,3.0,97.0,3.0,0.0,0.030927835051546393
ARUBA,ABW,2010,3.0,97.0,3.0,0.0,0.030927835051546393
AZERBAIJAN,AZE,1999,1.0,99.0,1.0,0.0,0.010101010101010102
AZERBAIJAN,AZE,2007,0.0,100.0,0.0,1.0101010101010166,0.0
AZERBAIJAN,AZE,2009,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2010,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2011,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2012,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2013,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2014,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2015,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2016,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2017,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2019,0.0,100.0,0.0,0.0,0.0
AZERBAIJAN,AZE,2023,0.0,100.0,0.0,0.0,0.0
BAHRAIN,BHR,1991,16.0,84.0,16.0,0.0,0.19047619047619047
BAHRAIN,BHR,2001,13.0,87.0,13.0,3.571428571428581,0.14942528735632185
BAHRAIN,BHR,2022,2.0,98.0,2.0,12.643678160919535,0.02040816326530612
BAHRAIN,BHR,2023,2.0,98.0,2.0,0.0,0.02040816326530612
BANGLADESH,BGD,1991,65.0,35.0,65.0,0.0,1.8571428571428572
BANGLADESH,BGD,2001,53.0,47.0,53.0,34.28571428571428,1.127659574468085
BANGLADESH,BGD,2011,41.0,59.0,41.0,25.531914893617014,0.6949152542372882
BANGLADESH,BGD,2012,42.0,58.0,42.0,-1.6949152542372836,0.7241379310344828
BANGLADESH,BGD,2013,39.0,61.0,39.0,5.1724137931034475,0.639344262295082
BANGLADESH,BGD,2014,39.0,61.0,39.0,0.0,0.639344262295082
BANGLADESH,BGD,2015,35.0,65.0,35.0,6.557377049180335,0.5384615384615384
BANGLADESH,BGD,2016,27.0,73.0,27.0,12.307692307692308,0.3698630136986301
BANGLADESH,BGD,2017,27.0,73.0,27.0,0.0,0.3698630136986301
BANGLADESH,BGD,2018,26.0,74.0,26.0,1.3698630136986356,0.35135135135135137
BANGLADESH,BGD,2019,25.0,75.0,25.0,1.3513513513513598,0.3333333333333333
BANGLADESH,BGD,2020,25.0,75.0,25.0,0.0,0.3333333333333333
BANGLADESH,BGD,2021,24.0,76.0,24.0,1.333333333333342,0.3157894736842105
BANGLADESH,BGD,2022,21.0,79.0,21.0,3.9473684210526327,0.26582278481012656
BELARUS,BLR,1999,0.0,100.0,0.0,0.0,0.0
BELARUS,BLR,2009,0.0,100.0,0.0,0.0,0.0
BELARUS,BLR,2019,0.0,100.0,0.0,0.0,0.0
