country,code,year,literacy_rate,avg_years_of_education,population,region
Afghanistan,AFG,1870,3.0,0.01,4101170.0,Asia
Afghanistan,AFG,1875,3.0,0.01,4193635.0,Asia
Afghanistan,AFG,1880,3.0,0.01,4288021.0,Asia
Afghanistan,AFG,1885,3.0,0.01,4384343.0,Asia
Afghanistan,AFG,1890,3.0,0.01,4482635.0,Asia
Afghanistan,AFG,1895,3.0,0.01,4582928.0,Asia
Afghanistan,AFG,1900,3.0,0.01,4707744.0,Asia
Afghanistan,AFG,1905,3.0,0.01,4982681.0,Asia
Afghanistan,AFG,1910,3.0,0.01,5504191.0,Asia
Afghanistan,AFG,1915,3.0,0.02,7654918.0,Asia
Afghanistan,AFG,1920,3.0,0.03,10188845.0,Asia
Afghanistan,AFG,1925,3.0,0.04,8416077.0,Asia
Afghanistan,AFG,1930,3.0,0.04,6626142.0,Asia
Afghanistan,AFG,1935,3.0,0.05,6409250.0,Asia
Afghanistan,AFG,1940,3.0,0.2,6468510.0,Asia
Afghanistan,AFG,1945,3.0,0.22,6917471.0,Asia
Afghanistan,AFG,1950,3.0,0.28,7776180.0,Asia
Afghanistan,AFG,1955,3.0,0.32,8326981.0,Asia
Afghanistan,AFG,1960,3.0,0.39,9035048.0,Asia
Afghanistan,AFG,1965,3.0,0.44,10036003.0,Asia
Afghanistan,AFG,1970,3.0,0.72,11290134.0,Asia
Afghanistan,AFG,1975,3.0,0.97,12773966.0,Asia
Afghanistan,AFG,1979,18.0,0.22,13655575.0,Asia
Afghanistan,AFG,1980,18.0,1.29,13169313.0,Asia
Afghanistan,AFG,1985,18.0,1.73,11426855.0,Asia
Afghanistan,AFG,1990,18.0,2.06,12045664.0,Asia
Afghanistan,AFG,1995,18.0,2.4,17065837.0,Asia
Afghanistan,AFG,2000,18.0,3.03,20130334.0,Asia
Afghanistan,AFG,2005,18.0,3.32,24404575.0,Asia
Afghanistan,AFG,2010,18.0,3.93,28284088.0,Asia
Afghanistan,AFG,2011,31.0,0.22,29347708.0,Asia
Afghanistan,AFG,2015,33.75384,4.81,33831767.0,Asia
Afghanistan,AFG,2020,33.75384,5.69,39068977.0,Asia
Afghanistan,AFG,2021,37.0,0.22,40000410.0,Asia
Africa,Afr,1870,27.0,0.057632297,122086255.0,Africa
Africa,Afr,1875,27.0,0.0679372,125042995.0,Africa
Africa,Afr,1880,27.0,0.0829817,128194527.0,Africa
Africa,Afr,1885,27.0,0.10104209,131669056.0,Africa
Africa,Afr,1890,27.0,0.11763715,135054738.0,Africa
Africa,Afr,1895,27.0,0.12729484,136921163.0,Africa
Africa,Afr,1900,27.0,0.14558923,138755559.0,Africa
Africa,Afr,1905,27.0,0.17948055,141220048.0,Africa
Africa,Afr,1910,27.0,0.22879495,144068383.0,Africa
Africa,Afr,1915,27.0,0.3172326,147042086.0,Africa
Africa,Afr,1920,27.0,0.46067154,150865200.0,Africa
Africa,Afr,1925,27.0,0.5505489,159672951.0,Africa
Africa,Afr,1930,27.0,0.65101254,169928217.0,Africa
Africa,Afr,1935,27.0,0.7203865,181010603.0,Africa
Africa,Afr,1940,27.0,0.82451165,193310936.0,Africa
Africa,Afr,1945,27.0,0.9153555,209035596.0,Africa
Africa,Afr,1950,27.0,1.0554335,227776845.0,Africa
Africa,Afr,1955,27.0,1.181265,253538237.0,Africa
Africa,Afr,1960,27.0,1.3246403,283922302.0,Africa
Africa,Afr,1965,27.0,1.5626957,321013552.0,Africa
Africa,Afr,1970,27.0,1.900925,365552202.0,Africa
Africa,Afr,1975,27.0,2.2973142,418433496.0,Africa
Africa,Afr,1980,27.0,2.8511786,483051700.0,Africa
